ID,GEOID,NAME,centroidx,centroidy
1,53065,Stevens,-117.85516055900,48.39909982380
2,53005,Benton,-119.51121769300,46.23980804610
3,53007,Chelan,-120.61897265300,47.86922060700
4,53009,Clallam,-123.92799738800,48.04932236990
5,53015,Cowlitz,-122.68100236400,46.19324154900
6,53025,Grant,-119.45175205500,47.20568100550
7,53031,Jefferson,-123.59526487000,47.74888658050
8,53037,Kittitas,-120.67987779700,47.12439985470
9,53043,Lincoln,-118.41872723500,47.57626322320
10,53047,Okanogan,-119.74083795800,48.54879405560
11,53049,Pacific,-123.70412854000,46.55569077740
12,53053,Pierce,-122.10455702300,47.02409030110
13,53061,Snohomish,-121.69749410400,48.04747503840
14,53071,Walla Walla,-118.47844046900,46.22977316190
15,53073,Whatcom,-121.71989204800,48.82590864880
16,53077,Yakima,-120.73845626100,46.45706868080
17,53011,Clark,-122.48252004800,45.77920927700
18,53045,Mason,-123.19272413900,47.34839443690
19,53027,Grays Harbor,-123.77350634800,47.15024549040
20,53033,King,-121.80523369100,47.49024907510
21,53057,Skagit,-121.73018029500,48.47937122840
22,53019,Ferry,-118.51658914100,48.47028891530
23,53075,Whitman,-117.52302705100,46.90117314410
24,53067,Thurston,-122.83318614500,46.92577200110
25,53021,Franklin,-118.89896929600,46.53472740970
26,53055,San Juan,-122.96496943900,48.57819131370
27,53051,Pend Oreille,-117.27399511500,48.53229304730
28,53059,Skamania,-121.91474377200,46.02303608200
29,53013,Columbia,-117.90777482000,46.29752640640
30,53029,Island,-122.54807098500,48.16300542640
31,53035,Kitsap,-122.67172296900,47.61316507430
32,53041,Lewis,-122.39268292800,46.57777294070
33,53039,Klickitat,-120.78912078100,45.87379703800
34,53001,Adams,-118.56058043300,46.98338233620
35,53063,Spokane,-117.40403497400,47.62066276220
36,53023,Garfield,-117.54516733500,46.43163891620
37,53003,Asotin,-117.20303346500,46.19182074560
38,53069,Wahkiakum,-123.42442016300,46.29176917760
39,53017,Douglas,-119.69178815600,47.73610351680
